Depth (mbsf)	Density(g/cc)	Vp(m/s)	Vs(m/s)
323.70	1.6960	1755.25	551.80
323.55	1.6950	1757.18	547.53
323.40	1.7070	1778.71	567.66
323.25	1.7120	1779.23	581.32
323.10	1.7250	1779.02	561.97
322.95	1.7410	1782.87	551.81
322.80	1.7580	1785.38	549.85
322.65	1.7690	1785.69	562.05
322.50	1.7740	1785.59	570.54
322.35	1.7750	1795.16	535.71
322.20	1.7800	1798.02	536.70
322.05	1.7800	1798.65	537.81
321.90	1.7860	1795.69	534.93
321.75	1.7900	1789.47	528.43
321.60	1.7960	1786.43	533.50
321.45	1.7990	1782.56	538.89
321.30	1.7960	1781.62	540.21
321.15	1.7890	1781.21	533.26
321.00	1.7910	1783.08	529.18
320.85	1.7980	1782.87	523.55
320.70	1.8100	1782.46	519.50
320.55	1.8140	1782.35	518.59
320.40	1.8140	1784.23	513.04
320.25	1.8090	1785.38	517.76
320.10	1.8020	1786.84	521.40
319.95	1.7860	1782.46	528.46
319.80	1.7890	1779.44	524.41
319.65	1.7940	1779.75	521.55
319.50	1.8160	1764.20	516.90
319.35	1.8530	1753.64	510.76
319.20	1.8530	1753.94	509.06
319.05	1.8310	1760.73	513.29
318.90	1.7910	1774.26	522.71
318.75	1.7820	1781.52	538.53
318.60	1.8070	1783.39	549.71
318.45	1.8520	1793.26	556.04
318.30	1.8880	1790.83	545.94
318.15	1.8650	1778.61	526.10
318.00	1.8180	1771.06	516.69
317.85	1.7900	1776.22	518.52
317.70	1.7990	1798.12	545.71
317.55	1.8240	1801.10	567.67
317.40	1.8250	1813.31	574.30
317.25	1.8160	1835.92	580.31
317.10	1.8170	1839.80	565.97
316.95	1.8350	1840.14	556.97
316.80	1.8420	1829.31	543.86
316.65	1.8200	1812.99	544.03
316.50	1.7980	1831.95	543.65
316.35	1.7820	1841.47	546.51
316.20	1.7750	1845.04	557.88
316.05	1.7680	1844.70	554.52
315.90	1.7610	1833.82	551.48
315.75	1.7490	1801.84	561.24
315.60	1.7290	1801.10	560.10
315.45	1.7090	1801.74	548.46
315.30	1.6860	1804.72	552.54
315.15	1.6710	1823.08	562.61
315.00	1.6620	1817.75	567.28
314.85	1.6700	1806.44	585.04
314.70	1.6870	1806.65	542.11
314.55	1.7020	1803.98	549.51
314.40	1.7090	1777.57	540.37
314.25	1.7040	1776.33	532.19
314.10	1.7110	1776.74	536.62
313.95	1.7250	1778.50	583.71
313.80	1.7410	1778.82	560.62
313.65	1.7540	1778.82	562.61
313.50	1.7600	1778.82	563.46
313.35	1.7750	1772.09	545.62
313.20	1.7670	1763.48	528.39
313.05	1.8030	1763.07	515.98
312.90	1.8280	1760.63	514.37
312.75	1.8450	1747.41	474.30
312.60	1.8160	1745.50	499.75
312.45	1.8160	1745.60	502.05
312.30	1.8440	1746.50	523.80
312.15	1.9040	1765.93	523.01
312.00	1.8370	1769.62	535.19
311.85	1.7860	1818.62	548.92
311.70	1.7230	1830.52	550.56
311.55	1.7030	1828.54	558.32
311.40	1.6940	1838.47	562.40
311.25	1.6890	1839.36	540.63
311.10	1.6970	1837.81	524.57
310.95	1.7110	1815.69	511.52
310.80	1.7260	1833.27	508.12
310.65	1.7320	1788.84	501.53
310.50	1.7210	1760.02	499.51
310.35	1.6990	1772.09	502.02
310.20	1.6700	1778.19	523.88
310.05	1.6520	1779.44	537.67
309.90	1.6510	1781.31	528.06
309.75	1.6550	1777.99	537.30
309.60	1.6540	1769.01	551.32
309.45	1.6510	1764.09	553.01
309.30	1.6480	1765.52	555.49
309.15	1.6530	1772.20	575.76
309.00	1.6600	1777.05	580.24
308.85	1.6710	1780.37	543.36
308.70	1.6890	1784.75	529.53
308.55	1.7040	1783.29	541.18
308.40	1.7130	1781.73	536.65
308.25	1.7190	1782.14	519.47
308.10	1.7310	1782.25	509.41
307.95	1.7430	1779.13	507.80
307.80	1.7470	1771.99	523.93
307.65	1.7390	1768.60	580.17
307.50	1.7340	1767.26	598.21
307.35	1.7310	1756.57	615.58
307.20	1.7390	1744.31	581.42
307.05	1.7660	1751.02	546.94
306.90	1.7940	1742.11	509.02
306.75	1.7960	1738.63	499.77
306.60	1.7450	1746.60	486.46
306.45	1.7090	1736.36	472.64
306.30	1.6760	1746.20	499.06
306.15	1.6570	1775.19	529.32
306.00	1.6390	1774.05	537.08
305.85	1.6430	1767.78	515.90
305.70	1.6560	1769.83	515.81
305.55	1.6780	1760.73	520.30
305.40	1.6930	1746.30	496.12
305.25	1.6980	1749.21	475.03
305.10	1.6910	1747.41	475.56
304.95	1.6790	1745.60	490.50
304.80	1.6580	1727.21	491.72
304.65	1.6370	1727.89	493.52
304.50	1.6120	1727.40	496.79
304.35	1.6020	1728.58	509.79
304.20	1.6060	1691.64	500.97
304.05	1.6180	1713.32	507.09
303.90	1.6280	1690.80	513.28
303.75	1.6320	1704.60	510.07
303.60	1.6340	1701.27	516.27
303.45	1.6310	1700.99	516.15
303.30	1.6280	1700.80	489.29
303.15	1.6340	1690.80	480.34
303.00	1.6430	1681.56	483.05
302.85	1.6560	1680.45	483.49
302.70	1.6600	1700.04	486.33
302.55	1.6530	1712.36	511.05
302.40	1.6420	1719.02	465.20
302.25	1.6290	1724.08	468.28
302.10	1.6290	1725.64	471.39
301.95	1.6270	1728.58	471.00
301.80	1.6240	1729.46	475.15
301.65	1.6180	1729.17	452.82
301.50	1.6120	1724.66	443.89
301.35	1.6150	1724.27	438.43
301.20	1.6170	1715.44	446.89
301.05	1.6200	1713.71	457.44
300.90	1.6180	1715.25	459.22
300.75	1.6120	1714.09	494.42
300.60	1.6070	1717.67	523.06
300.45	1.5980	1726.72	528.56
300.30	1.5960	1731.42	529.53
300.15	1.6020	1730.05	530.35
300.00	1.6070	1730.54	531.20
