Depth (mbsf)	Density(g/cc)	Vp(m/s)	Vs(m/s)
504.15	1.7360	1871.66	607.34
504.00	1.7000	1877.77	631.33
503.85	1.6730	1889.53	611.19
503.70	1.6500	1844.48	598.33
503.55	1.6530	1850.30	598.03
503.40	1.6640	1841.02	593.05
503.25	1.6850	1839.69	602.30
503.10	1.7210	1867.30	614.85
502.95	1.7510	1871.20	616.31
502.80	1.7750	1891.05	626.98
502.65	1.7750	1913.49	632.58
502.50	1.7750	1917.83	633.86
502.35	1.7530	1917.83	630.99
502.20	1.7240	1895.40	605.41
502.05	1.6850	1880.55	596.34
501.90	1.6710	1877.89	595.46
501.75	1.6800	1877.08	591.45
501.60	1.7150	1871.09	602.28
501.45	1.7500	1885.91	625.59
501.30	1.7840	1893.87	647.88
501.15	1.8100	1893.40	653.82
501.00	1.8140	1909.18	652.69
500.85	1.7890	1898.59	658.96
500.70	1.7530	1888.24	648.55
500.55	1.7380	1889.76	652.16
500.40	1.7540	1890.00	647.81
500.25	1.7860	1914.33	651.80
500.10	1.8120	1934.75	660.76
499.95	1.8170	1934.75	655.41
499.80	1.8060	1935.98	654.40
499.65	1.7900	1937.58	656.26
499.50	1.7810	1936.96	655.39
499.35	1.7820	1935.36	654.85
499.20	1.7890	1935.36	659.74
499.05	1.8040	1937.58	662.90
498.90	1.8150	1936.84	646.86
498.75	1.8050	1912.29	631.19
498.60	1.7750	1880.67	630.19
498.45	1.7440	1879.63	627.39
498.30	1.7260	1879.16	624.72
498.15	1.7230	1880.78	627.55
498.00	1.7310	1881.13	628.23
497.85	1.7500	1895.52	633.40
497.70	1.7700	1923.39	645.17
497.55	1.7850	1924.49	646.23
497.40	1.7860	1926.92	644.41
497.25	1.7780	1915.17	640.48
497.10	1.7710	1890.47	640.65
496.95	1.7690	1899.78	642.04
496.80	1.7660	1940.17	652.76
496.65	1.7780	1939.92	680.86
496.50	1.7970	1940.78	678.78
496.35	1.8220	1945.86	682.46
496.20	1.8380	1945.49	684.02
496.05	1.8370	1945.49	678.60
495.90	1.8200	1943.88	641.28
495.75	1.7760	1923.51	596.66
